Part;Value;Device;Package;Description;POPULARITY;PROD_ID;SPICEPREFIX;VALUE;;
51_Ohms;;;RESISTOR1206;1206;Generic;Resistor;Package;;;
51_Ohms;;;RESISTOR1206;1206;Generic;Resistor;Package;;;
C1;10uF;CAPACITOR1210;R1210;-1206;TCJA106M016R0200;1189-1621-2-ND ;;;;
C6;10uF;CAPACITOR1210;R1210;;TCJA106M016R0200;;;;;
C15;3.3u;C-USC0603;C0603;CAPACITOR;;American;symbol;;;
C16;18p;C-USC0603;C0603;CAPACITOR;;American;symbol;;;
C17;220n;C-USC0603;C0603;CAPACITOR;;American;symbol;;;
C18;100n;C-USC0603;C0603;CAPACITOR;;American;symbol;;;
C19;100n;C-USC0603;C0603;CAPACITOR;;American;symbol;;;
C20;100n;C-USC0603;C0603;CAPACITOR;;American;symbol;;;
C21;18p;C-USC0603;C0603;CAPACITOR;;American;symbol;;;
C22;18p;C-USC0603;C0603;CAPACITOR;;American;symbol;;;
C39;22uF;CAP_POL1206_TANT;1206_POL;;;;;;;
CV_B;WQP-PJ301M-12_JACK;WQP-PJ301M-12_JACK;WQP-PJ301M-12_JACK;;;;;;;
CV_C;WQP-PJ301M-12_JACK;WQP-PJ301M-12_JACK;WQP-PJ301M-12_JACK;;;;;;;
CV_D;WQP-PJ301M-12_JACK;WQP-PJ301M-12_JACK;WQP-PJ301M-12_JACK;;;;;;;
D2;B0450;DIODE-SOD123;SOD123;DIODE;;;;;;
D3;B0540;DIODE-SOD123;SOD123;DIODE;;;;;;
ESP32;ESP32DEVKITC;ESP32DEVKITC;ESP32-DEVKITC;;;;;;;
F1;Würth;Electronics;742792664;FERRITE-BEAD0805;R0805;;;;;
;;;;;;;;;;
IC6;OPA4171;TL074D;SO14;OP;AMP;;;;;
MIDI_OUT;WQP-PJ301M-12_JACK;WQP-PJ301M-12_JACK;WQP-PJ301M-12_JACK;;;;;;;
PWR_10;POWER_SIMPLE10;POWER_SIMPLE10;POWER_10;;;;;;;
R1;47k;R-US_R1206;R1206;RESISTOR;;American;symbol;19;;R
R2;47k;R-US_R1206;R1206;RESISTOR;;American;symbol;19;;R
R3;47k;R-US_R1206;R1206;RESISTOR;;American;symbol;19;;R
R4;47k;R-US_R1206;R1206;RESISTOR;;American;symbol;19;;R
R5;47k;R-US_R1206;R1206;RESISTOR;;American;symbol;19;;R
R25;1.0k;R-US_R0603;R0603;RESISTOR;;American;symbol;;;
R27;240k;R-US_R0603;R0603;RESISTOR;;American;symbol;;;
R28;240k;R-US_R0603;R0603;RESISTOR;;American;symbol;;;
R29;240k;R-US_R0603;R0603;RESISTOR;;American;symbol;;;
R30;1.0k;R-US_R0603;R0603;RESISTOR;;American;symbol;;;
R31;1.0k;R-US_R0603;R0603;RESISTOR;;American;symbol;;;
REGULATOR;7805DT;7805DT;TO252;Positive;VOLTAGE;REGULATOR;;;;
TFT;;M04PTH;1X04;Header;4;;;;;
TOUCH;;M06LOCK_LONGPADS;1X06_LOCK_LONGPADS;Header;6;;;;;
